Station,Brand,Street,City,State,Regular_Price,Regular_Timestamp,Diesel_Price,Day_Type,Classification,Zip_Code
COUNTRY FAIR #25 Country Fair,Country Fair,5838 WATTSBURG RD,Erie,PA,4.199,02APR2026,6.299,Weekday,Urban,16546
COUNTRY FAIR #3 Country Fair,Country Fair,347 E 12TH ST,Erie,PA,4.129,02APR2026,5.999,Weekday,Urban,16546
COUNTRY FAIR #38 Country Fair,Country Fair,1810 SASSAFRAS STREET,Erie,PA,4.199,02APR2026,5.999,Weekday,Urban,16546
COUNTRY FAIR #43 Country Fair,Country Fair,3826 PEACH ST,Erie,PA,4.199,02APR2026,,Weekday,Urban,16546
COUNTRY FAIR #50 Country Fair,Country Fair,2266 E 38TH ST,Erie,PA,4.169,02APR2026,5.969,Weekday,Urban,16546
COUNTRY FAIR #59 Country Fair,Country Fair,4526 PINE AVE,Erie,PA,4.199,02APR2026,,Weekday,Urban,16546
COUNTRY FAIR #83 Country Fair,Country Fair,810 EAST AVE,Erie,PA,4.199,02APR2026,,Weekday,Urban,16546
COUNTRY FAIR #90 Country Fair,Country Fair,2525 STATE ST,Erie,PA,4.199,02APR2026,,Weekday,Urban,16546
COUNTRY FAIR #91 Country Fair,Country Fair,803 BROWN AVE,Erie,PA,4.199,02APR2026,,Weekday,Urban,16546
KWIK FILL #157 Kwik Fill,Kwik Fill,1588 E 38TH ST,Erie,PA,4.199,02APR2026,,Weekday,Urban,16546
KWIK FILL #384 Kwik Fill,Kwik Fill,3745 MCCLELLAND AVE,Erie,PA,3.999,02APR2026,,Weekday,Urban,16546
Sheetz #755 Sheetz,Sheetz,3814 Liberty St,Erie,PA,4.199,02APR2026,6.299,Weekday,Urban,16546
SUNOCO Sunoco,Sunoco,26 E 12TH ST,Erie,PA,4.199,02APR2026,,Weekday,Urban,16546
SUNOCO Sunoco,Sunoco,26 E 12TH ST,Erie,PA,4.199,02APR2026,,Weekday,Urban,16546
Tops Fuel 665 Tops,Tops,712 W 38th St,Erie,PA,4.199,02APR2026,,Weekday,Urban,16546
JONES BP BP,BP,614 MACDADE BLVD,Folsom,PA,3.959,02APR2026,,Weekday,Urban,19086
WAWA #8038 Wawa,Wawa,123 MORTON AVE,Folsom,PA,4.199,02APR2026,5.999,Weekday,Urban,19086
Quick Mart Gulf,Gulf,403 MAIN ST East,Greenville,PA,4.199,02APR2026,,Weekday,Urban,18076
BP BP,BP,1 HIGHLAND AVE,Herminie,PA,4.299,02APR2026,5.999,Weekday,Urban,15625
Sunoco Sunoco,Sunoco,3331 CLAY PIKE ST,Herminie,PA,3.999,02APR2026,,Weekday,Urban,15625
TURKEY HILL MINIT MARKET #950271 Turkey Hill,Turkey Hill,515 MAIN ST,Red Hill,PA,4.179,02APR2026,,Weekday,Urban,18076
COUSINS MART Gulf,Gulf,10 HILL ST,Jessup,PA,3.999,02APR2026,,Weekday,Urban,18403
SHEETZ #312 Sheetz,Sheetz,1455 E MAIN ST,Mount Joy,PA,4.179,02APR2026,6.299,Weekday,Urban,17538
CONOCO Conoco,Conoco,1141 CHESTER PIKE,Crum Lynne,PA,4.199,02APR2026,,Weekday,Urban,19086
7-Eleven #40073 7-Eleven,7-Eleven,296 E BALTIMORE AVE,Media,PA,4.199,02APR2026,,Weekday,Urban,19086
WAWA #8082 Wawa,Wawa,435 E BALTIMORE AVE,Media,PA,4.199,02APR2026,5.999,Weekday,Urban,19086
